source,target,colors
 g__[Eubacterium]_brachy_group, g__[Eubacterium]_coprostanoligenes_group,red
 g__[Eubacterium]_brachy_group, g__[Eubacterium]_xylanophilum_group,red
 g__[Eubacterium]_brachy_group, g__67-14,red
 g__[Eubacterium]_brachy_group, g__A2,red
 g__[Eubacterium]_brachy_group, g__Acetatifactor,red
 g__[Eubacterium]_brachy_group, g__Agrococcus,red
 g__[Eubacterium]_brachy_group, g__Aliihoeflea,red
 g__[Eubacterium]_brachy_group, g__Alistipes,red
 g__[Eubacterium]_brachy_group, g__Alloprevotella,red
 g__[Eubacterium]_brachy_group, g__alphaI_cluster,red
 g__[Eubacterium]_brachy_group, g__Anaerotruncus,red
 g__[Eubacterium]_brachy_group, g__Antricoccus,red
 g__[Eubacterium]_brachy_group, g__ASF356,red
 g__[Eubacterium]_brachy_group, g__Aureimonas,red
 g__[Eubacterium]_brachy_group, g__Bacillus,red
 g__[Eubacterium]_brachy_group, g__Brachybacterium,red
 g__[Eubacterium]_brachy_group, g__Butyricicoccus,red
 g__[Eubacterium]_brachy_group, g__Candidatus_Phytoplasma,red
 g__[Eubacterium]_brachy_group, g__Candidatus_Saccharimonas,red
 g__[Eubacterium]_brachy_group, g__Carnobacterium,red
 g__[Eubacterium]_brachy_group, g__Cellulomonas,red
 g__[Eubacterium]_brachy_group, g__D05-2,red
 g__[Eubacterium]_brachy_group, g__Devosia,red
 g__[Eubacterium]_brachy_group, g__Donghicola,red
 g__[Eubacterium]_brachy_group, g__Ellin6055,red
 g__[Eubacterium]_brachy_group, g__Enterorhabdus,red
 g__[Eubacterium]_brachy_group, g__Erysipelotrichaceae,red
 g__[Eubacterium]_brachy_group, g__Flavisolibacter,red
 g__[Eubacterium]_brachy_group, g__Friedmanniella,red
 g__[Eubacterium]_brachy_group, g__Frigoribacterium,red
 g__[Eubacterium]_brachy_group, g__GCA-900066575,red
 g__[Eubacterium]_brachy_group, g__Gemella,red
 g__[Eubacterium]_brachy_group, g__Georgenia,red
 g__[Eubacterium]_brachy_group, g__Gordonibacter,red
 g__[Eubacterium]_brachy_group, g__Isoptericola,red
 g__[Eubacterium]_brachy_group, g__JG30-KF-CM45,red
 g__[Eubacterium]_brachy_group, g__Kineococcus,red
 g__[Eubacterium]_brachy_group, g__Lachnoclostridium,red
 g__[Eubacterium]_brachy_group, g__Lachnospiraceae_NK4A136_group,red
 g__[Eubacterium]_brachy_group, g__Lachnospiraceae_UCG-001,red
 g__[Eubacterium]_brachy_group, g__Lachnospiraceae_UCG-006,red
 g__[Eubacterium]_brachy_group, g__Lachnospiraceae_UCG-008,red
 g__[Eubacterium]_brachy_group, g__Marisediminicola,red
 g__[Eubacterium]_brachy_group, g__Marmoricola,red
 g__[Eubacterium]_brachy_group, g__Methylobacterium,red
 g__[Eubacterium]_brachy_group, g__Microbacterium,red
 g__[Eubacterium]_brachy_group, g__Mollicutes_RF39,red
 g__[Eubacterium]_brachy_group, g__Muribaculaceae,red
 g__[Eubacterium]_brachy_group, g__Mycobacterium,red
 g__[Eubacterium]_brachy_group, g__Nocardiopsis,red
 g__[Eubacterium]_brachy_group, g__Oscillibacter,red
 g__[Eubacterium]_brachy_group, g__Patulibacter,red
 g__[Eubacterium]_brachy_group, g__Pelagibacterium,red
 g__[Eubacterium]_brachy_group, g__Prevotellaceae_UCG-001,red
 g__[Eubacterium]_brachy_group, g__Promicromonospora,red
 g__[Eubacterium]_brachy_group, g__Pseudolabrys,red
 g__[Eubacterium]_brachy_group, g__Rathayibacter,red
 g__[Eubacterium]_brachy_group, g__Rhodopirellula,red
 g__[Eubacterium]_brachy_group, g__Rothia,red
 g__[Eubacterium]_brachy_group, g__Ruminiclostridium,red
 g__[Eubacterium]_brachy_group, g__Ruminiclostridium_5,red
 g__[Eubacterium]_brachy_group, g__Ruminiclostridium_9,red
 g__[Eubacterium]_brachy_group, g__Ruminococcaceae_UCG-014,red
 g__[Eubacterium]_brachy_group, g__Saccharimonadales,red
 g__[Eubacterium]_brachy_group, g__Streptomyces,red
 g__[Eubacterium]_brachy_group, g__Terrisporobacter,red
 g__[Eubacterium]_brachy_group, g__unclassified_Acidimicrobiia,red
 g__[Eubacterium]_brachy_group, g__unclassified_Actinobacteria,red
 g__[Eubacterium]_brachy_group, g__unclassified_Bacillaceae,red
 g__[Eubacterium]_brachy_group, g__unclassified_Bacteroidales,red
 g__[Eubacterium]_brachy_group, g__unclassified_Betaproteobacteriales,red
 g__[Eubacterium]_brachy_group, g__unclassified_Bogoriellaceae,red
 g__[Eubacterium]_brachy_group, g__unclassified_Carnobacteriaceae,red
 g__[Eubacterium]_brachy_group, g__unclassified_Clostridiales,red
 g__[Eubacterium]_brachy_group, g__unclassified_Coriobacteriales,red
 g__[Eubacterium]_brachy_group, g__unclassified_Coriobacteriales_Incertae_Sedis,red
 g__[Eubacterium]_brachy_group, g__unclassified_Coriobacteriia,red
 g__[Eubacterium]_brachy_group, g__unclassified_Desulfovibrionaceae,red
 g__[Eubacterium]_brachy_group, g__unclassified_Eggerthellaceae,red
 g__[Eubacterium]_brachy_group, g__unclassified_Firmicutes,red
 g__[Eubacterium]_brachy_group, g__unclassified_Lachnospiraceae,red
 g__[Eubacterium]_brachy_group, g__unclassified_Lactobacillales,red
 g__[Eubacterium]_brachy_group, g__unclassified_Microbacteriaceae,red
 g__[Eubacterium]_brachy_group, g__unclassified_Micrococcales,red
 g__[Eubacterium]_brachy_group, g__unclassified_Microtrichales,red
 g__[Eubacterium]_brachy_group, g__unclassified_Propionibacteriales,red
 g__[Eubacterium]_brachy_group, g__unclassified_Rhizobiaceae,red
 g__[Eubacterium]_brachy_group, g__unclassified_Rhodobacteraceae,red
 g__[Eubacterium]_brachy_group, g__unclassified_Ruminococcaceae,red
 g__[Eubacterium]_brachy_group, g__uncultured,red
 g__[Eubacterium]_brachy_group, g__Yangia,red
 g__[Eubacterium]_coprostanoligenes_group, g__[Eubacterium]_xylanophilum_group,red
 g__[Eubacterium]_coprostanoligenes_group, g__67-14,red
 g__[Eubacterium]_coprostanoligenes_group, g__A2,red
 g__[Eubacterium]_coprostanoligenes_group, g__Acetatifactor,red
 g__[Eubacterium]_coprostanoligenes_group, g__Agrococcus,red
 g__[Eubacterium]_coprostanoligenes_group, g__Aliihoeflea,red
 g__[Eubacterium]_coprostanoligenes_group, g__Alistipes,red
 g__[Eubacterium]_coprostanoligenes_group, g__Alloprevotella,red
 g__[Eubacterium]_coprostanoligenes_group, g__alphaI_cluster,red
 g__[Eubacterium]_coprostanoligenes_group, g__Anaerotruncus,red
 g__[Eubacterium]_coprostanoligenes_group, g__Antricoccus,red
 g__[Eubacterium]_coprostanoligenes_group, g__ASF356,red
 g__[Eubacterium]_coprostanoligenes_group, g__Aureimonas,red
 g__[Eubacterium]_coprostanoligenes_group, g__Bacillus,red
 g__[Eubacterium]_coprostanoligenes_group, g__Brachybacterium,red
 g__[Eubacterium]_coprostanoligenes_group, g__Butyricicoccus,red
 g__[Eubacterium]_coprostanoligenes_group, g__Candidatus_Phytoplasma,red
 g__[Eubacterium]_coprostanoligenes_group, g__Candidatus_Saccharimonas,red
 g__[Eubacterium]_coprostanoligenes_group, g__Carnobacterium,red
 g__[Eubacterium]_coprostanoligenes_group, g__Cellulomonas,red
 g__[Eubacterium]_coprostanoligenes_group, g__D05-2,red
 g__[Eubacterium]_coprostanoligenes_group, g__Devosia,red
 g__[Eubacterium]_coprostanoligenes_group, g__Donghicola,red
 g__[Eubacterium]_coprostanoligenes_group, g__Ellin6055,red
 g__[Eubacterium]_coprostanoligenes_group, g__Enterorhabdus,red
 g__[Eubacterium]_coprostanoligenes_group, g__Erysipelotrichaceae,red
 g__[Eubacterium]_coprostanoligenes_group, g__Flavisolibacter,red
 g__[Eubacterium]_coprostanoligenes_group, g__Friedmanniella,red
 g__[Eubacterium]_coprostanoligenes_group, g__Frigoribacterium,red
 g__[Eubacterium]_coprostanoligenes_group, g__GCA-900066575,red
 g__[Eubacterium]_coprostanoligenes_group, g__Gemella,red
 g__[Eubacterium]_coprostanoligenes_group, g__Georgenia,red
 g__[Eubacterium]_coprostanoligenes_group, g__Gordonibacter,red
 g__[Eubacterium]_coprostanoligenes_group, g__Isoptericola,red
 g__[Eubacterium]_coprostanoligenes_group, g__JG30-KF-CM45,red
 g__[Eubacterium]_coprostanoligenes_group, g__Kineococcus,red
 g__[Eubacterium]_coprostanoligenes_group, g__Lachnoclostridium,red
 g__[Eubacterium]_coprostanoligenes_group, g__Lachnospiraceae_NK4A136_group,red
 g__[Eubacterium]_coprostanoligenes_group, g__Lachnospiraceae_UCG-001,red
 g__[Eubacterium]_coprostanoligenes_group, g__Lachnospiraceae_UCG-006,red
 g__[Eubacterium]_coprostanoligenes_group, g__Lachnospiraceae_UCG-008,red
 g__[Eubacterium]_coprostanoligenes_group, g__Marisediminicola,red
 g__[Eubacterium]_coprostanoligenes_group, g__Marmoricola,red
 g__[Eubacterium]_coprostanoligenes_group, g__Methylobacterium,red
