Id,degree
 g__[Eubacterium]_brachy_group,91
 g__[Eubacterium]_coprostanoligenes_group,91
 g__[Eubacterium]_xylanophilum_group,91
 g__[Ruminococcus]_torques_group,18
 g__67-14,91
 g__A2,91
 g__Acetatifactor,91
 g__Acidibacter,22
 g__Acidisoma,15
 g__Afipia,18
 g__Agrococcus,91
 g__Aliihoeflea,91
 g__Alistipes,91
 g__Alloprevotella,91
 g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,6
 g__alphaI_cluster,91
 g__Anaerotruncus,91
 g__Antricoccus,91
 g__Arthrobacter,8
 g__ASF356,91
 g__Aureimonas,91
 g__Bacillus,92
 g__Bacteroides,25
 g__Bifidobacterium,21
 g__Blastococcus,8
 g__Brachybacterium,91
 g__Bradyrhizobium,26
 g__Butyricicoccus,91
 g__Caldicoprobacter,10
 g__Candidatus_Phytoplasma,91
 g__Candidatus_Saccharimonas,91
 g__Carnobacterium,91
 g__Caulobacter,11
 g__Cellulomonas,91
 g__CHKCI002,10
 g__Chloronema,21
 g__Christensenellaceae_R-7_group,20
 g__Clostridiales_vadinBB60_group,18
 g__Corynebacterium_1,26
 g__Curtobacterium,11
 g__D05-2,91
 g__Devosia,91
 g__Donghicola,91
 g__Ellin6055,91
 g__Enterococcus,26
 g__Enterorhabdus,93
 g__Erysipelatoclostridium,9
 g__Erysipelotrichaceae,91
 g__Escherichia-Shigella,10
 g__Flavisolibacter,91
 g__Flavonifractor,18
 g__Friedmanniella,91
 g__Frigoribacterium,90
 g__GCA-900066575,91
 g__Gemella,91
 g__Georgenia,91
 g__Gordonibacter,91
 g__Isoptericola,91
 g__JG30-KF-AS9,10
 g__JG30-KF-CM45,91
 g__Kineococcus,91
 g__Lachnoclostridium,94
 g__Lachnospiraceae_NK4A136_group,91
 g__Lachnospiraceae_UCG-001,91
 g__Lachnospiraceae_UCG-006,91
 g__Lachnospiraceae_UCG-008,91
 g__Lactobacillus,11
 g__Marinovum,5
 g__Marisediminicola,91
 g__Marivita,21
 g__Marmoricola,91
 g__Marvinbryantia,18
 g__Massilia,5
 g__MBA03,10
 g__Megamonas,18
 g__Merdibacter,18
 g__Methylobacterium,91
 g__Methylotenera,5
 g__Microbacterium,93
 g__Micromonospora,18
 g__Millionella,21
 g__Mollicutes_RF39,91
 g__Muribaculaceae,91
 g__Mycobacterium,91
 g__Neptunomonas,18
 g__Nocardia,18
 g__Nocardioides,23
 g__Nocardiopsis,91
 g__Noviherbaspirillum,21
 g__Oscillibacter,91
 g__Paenibacillus,5
 g__Pantoea,1
 g__Patulibacter,91
 g__Pelagibacterium,91
 g__Prevotellaceae_UCG-001,91
 g__Promicromonospora,91
 g__Pseudarthrobacter,10
 g__Pseudokineococcus,21
 g__Pseudolabrys,91
 g__Pseudomonas,9
 g__Psychrobacillus,21
 g__Ralstonia,6
 g__Rathayibacter,91
 g__Rhodopirellula,91
 g__Romboutsia,23
 g__Rothia,91
 g__Ruminiclostridium,93
 g__Ruminiclostridium_5,91
 g__Ruminiclostridium_9,92
 g__Ruminococcaceae_UCG-013,18
 g__Ruminococcaceae_UCG-014,93
 g__Saccharibacillus,6
 g__Saccharimonadales,91
 g__Sellimonas,21
 g__Sphingomonas,15
 g__Staphylococcus,21
 g__Streptococcus,23
 g__Streptomyces,91
 g__Subdoligranulum,23
 g__Tardiphaga,18
 g__Terrisporobacter,91
 g__unclassified_Acetobacteraceae,26
 g__unclassified_Acetobacterales,18
 g__unclassified_Acidimicrobiia,91
 g__unclassified_Actinobacteria,91
 g__unclassified_Alphaproteobacteria,17
 g__unclassified_Bacillaceae,91
 g__unclassified_Bacillales,5
 g__unclassified_Bacilli,5
 g__unclassified_Bacteria,23
 g__unclassified_Bacteroidales,91
 g__unclassified_Bacteroidia,10
 g__unclassified_Betaproteobacteriales,91
 g__unclassified_Bogoriellaceae,91
 g__unclassified_Burkholderiaceae,13
 g__unclassified_Carnobacteriaceae,91
 g__unclassified_Caulobacteraceae,9
 g__unclassified_Clostridiales,91
 g__unclassified_Coriobacteriales,91
 g__unclassified_Coriobacteriales_Incertae_Sedis,91
 g__unclassified_Coriobacteriia,91
 g__unclassified_Corynebacteriaceae,22
 g__unclassified_Corynebacteriales,21
 g__unclassified_Desulfovibrionaceae,91
 g__unclassified_Devosiaceae,6
 g__unclassified_Eggerthellaceae,91
 g__unclassified_Enterobacteriaceae,4
 g__unclassified_Erysipelotrichaceae,7
 g__unclassified_Family_XIII,21
 g__unclassified_Firmicutes,93
 g__unclassified_Gammaproteobacteria,5
 g__unclassified_Geodermatophilaceae,10
 g__unclassified_Lachnospiraceae,93
 g__unclassified_Lactobacillales,91
 g__unclassified_Microbacteriaceae,91
 g__unclassified_Micrococcaceae,22
 g__unclassified_Micrococcales,90
 g__unclassified_Microtrichales,91
 g__unclassified_Paenibacillaceae,6
 g__unclassified_Peptostreptococcaceae,12
 g__unclassified_Planococcaceae,8
 g__unclassified_Propionibacteriales,91
 g__unclassified_Proteobacteria,8
 g__unclassified_Pseudomonadaceae,6
 g__unclassified_Rhizobiaceae,91
 g__unclassified_Rhizobiales,1
 g__unclassified_Rhodobacteraceae,87
 g__unclassified_Ruminococcaceae,94
 g__unclassified_Saprospiraceae,5
 g__unclassified_Sphingomonadaceae,22
 g__unclassified_Spirochaetaceae,21
 g__unclassified_Staphylococcaceae,21
 g__unclassified_Stappiaceae,18
 g__unclassified_Xanthobacteraceae,23
 g__uncultured,93
 g__Virgibacillus,21
 g__Yangia,91
