source,target,colors
 g__[Clostridium]_innocuum_group, g__Bosea,red
 g__[Clostridium]_innocuum_group, g__Erwinia,red
 g__[Clostridium]_innocuum_group, g__Lactobacillus,red
 g__[Clostridium]_innocuum_group, g__Parvularcula,red
 g__[Clostridium]_innocuum_group, g__Phenylobacterium,red
 g__[Clostridium]_innocuum_group, g__Pseudomonas,red
 g__[Clostridium]_innocuum_group, g__Rheinheimera,red
 g__[Clostridium]_innocuum_group, g__unclassified_Alteromonadales,red
 g__[Clostridium]_innocuum_group, g__unclassified_Caulobacteraceae,red
 g__[Clostridium]_innocuum_group, g__uncultured,red
 g__[Eubacterium]_coprostanoligenes_group, g__Acidibacter,red
 g__[Eubacterium]_coprostanoligenes_group, g__Acinetobacter,red
 g__[Eubacterium]_coprostanoligenes_group, g__Aeromicrobium,red
 g__[Eubacterium]_coprostanoligenes_group, g__Agrococcus,red
 g__[Eubacterium]_coprostanoligenes_group, g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,red
 g__[Eubacterium]_coprostanoligenes_group, g__Arthrobacter,red
 g__[Eubacterium]_coprostanoligenes_group, g__Aureimonas,red
 g__[Eubacterium]_coprostanoligenes_group, g__Bacillus,red
 g__[Eubacterium]_coprostanoligenes_group, g__Brachybacterium,red
 g__[Eubacterium]_coprostanoligenes_group, g__Carnobacterium,red
 g__[Eubacterium]_coprostanoligenes_group, g__Cellulomonas,red
 g__[Eubacterium]_coprostanoligenes_group, g__Cellulosimicrobium,red
 g__[Eubacterium]_coprostanoligenes_group, g__Chelativorans,red
 g__[Eubacterium]_coprostanoligenes_group, g__Chryseobacterium,red
 g__[Eubacterium]_coprostanoligenes_group, g__Citricoccus,red
 g__[Eubacterium]_coprostanoligenes_group, g__Corynebacterium_1,red
 g__[Eubacterium]_coprostanoligenes_group, g__Curtobacterium,red
 g__[Eubacterium]_coprostanoligenes_group, g__Cutibacterium,red
 g__[Eubacterium]_coprostanoligenes_group, g__Deinococcus,red
 g__[Eubacterium]_coprostanoligenes_group, g__Delftia,red
 g__[Eubacterium]_coprostanoligenes_group, g__Desemzia,red
 g__[Eubacterium]_coprostanoligenes_group, g__Devosia,red
 g__[Eubacterium]_coprostanoligenes_group, g__Domibacillus,red
 g__[Eubacterium]_coprostanoligenes_group, g__Enterobacter,red
 g__[Eubacterium]_coprostanoligenes_group, g__Enterococcus,red
 g__[Eubacterium]_coprostanoligenes_group, g__Exiguobacterium,red
 g__[Eubacterium]_coprostanoligenes_group, g__Frigoribacterium,red
 g__[Eubacterium]_coprostanoligenes_group, g__Georgenia,red
 g__[Eubacterium]_coprostanoligenes_group, g__GKS98_freshwater_group,red
 g__[Eubacterium]_coprostanoligenes_group, g__Glutamicibacter,red
 g__[Eubacterium]_coprostanoligenes_group, g__Kineococcus,red
 g__[Eubacterium]_coprostanoligenes_group, g__Kocuria,red
 g__[Eubacterium]_coprostanoligenes_group, g__Leucobacter,red
 g__[Eubacterium]_coprostanoligenes_group, g__Luteimonas,red
 g__[Eubacterium]_coprostanoligenes_group, g__Marinagarivorans,red
 g__[Eubacterium]_coprostanoligenes_group, g__Marinilactibacillus,red
 g__[Eubacterium]_coprostanoligenes_group, g__Massilia,red
 g__[Eubacterium]_coprostanoligenes_group, g__Methylobacterium,red
 g__[Eubacterium]_coprostanoligenes_group, g__Microbacterium,red
 g__[Eubacterium]_coprostanoligenes_group, g__Nesterenkonia,red
 g__[Eubacterium]_coprostanoligenes_group, g__Nocardioides,red
 g__[Eubacterium]_coprostanoligenes_group, g__Paenibacillus,red
 g__[Eubacterium]_coprostanoligenes_group, g__Paeniglutamicibacter,red
 g__[Eubacterium]_coprostanoligenes_group, g__Paracoccus,red
 g__[Eubacterium]_coprostanoligenes_group, g__Plantibacter,red
 g__[Eubacterium]_coprostanoligenes_group, g__Pseudoclavibacter,red
 g__[Eubacterium]_coprostanoligenes_group, g__Rathayibacter,red
 g__[Eubacterium]_coprostanoligenes_group, g__Rhodococcus,red
 g__[Eubacterium]_coprostanoligenes_group, g__Saccharibacillus,red
 g__[Eubacterium]_coprostanoligenes_group, g__Salana,red
 g__[Eubacterium]_coprostanoligenes_group, g__Sanguibacter,red
 g__[Eubacterium]_coprostanoligenes_group, g__Sphingobacterium,red
 g__[Eubacterium]_coprostanoligenes_group, g__Stenotrophomonas,red
 g__[Eubacterium]_coprostanoligenes_group, g__Streptococcus,red
 g__[Eubacterium]_coprostanoligenes_group, g__SWB02,red
 g__[Eubacterium]_coprostanoligenes_group, g__Tianweitania,red
 g__[Eubacterium]_coprostanoligenes_group, g__Tyzzerella,red
 g__[Eubacterium]_coprostanoligenes_group, g__unclassified_Bacillales,red
 g__[Eubacterium]_coprostanoligenes_group, g__unclassified_Betaproteobacteriales,red
 g__[Eubacterium]_coprostanoligenes_group, g__unclassified_Bogoriellaceae,red
 g__[Eubacterium]_coprostanoligenes_group, g__unclassified_Burkholderiaceae,red
 g__[Eubacterium]_coprostanoligenes_group, g__unclassified_Carnobacteriaceae,red
 g__[Eubacterium]_coprostanoligenes_group, g__unclassified_Clostridiales,red
