Id,degree
 g__[Clostridium]_innocuum_group,10
 g__[Eubacterium]_coprostanoligenes_group,77
 g__[Eubacterium]_hallii_group,8
 g__Acidibacter,75
 g__Acidisoma,18
 g__Acinetobacter,77
 g__Aeromicrobium,77
 g__Afipia,4
 g__Agrococcus,77
 g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,77
 g__Arthrobacter,77
 g__Aureimonas,77
 g__Bacillus,77
 g__Bacteroides,18
 g__Bifidobacterium,3
 g__BIrii41,17
 g__Blastococcus,8
 g__Blfdi19,17
 g__Bosea,10
 g__Brachybacterium,77
 g__Bradyrhizobium,18
 g__Caproiciproducens,8
 g__Carnobacterium,77
 g__Caulobacter,8
 g__Cellulomonas,77
 g__Cellulosimicrobium,77
 g__Chelativorans,77
 g__Chryseobacterium,77
 g__Citricoccus,77
 g__Clostridium_sensu_stricto_1,6
 g__Corynebacterium_1,77
 g__Curtobacterium,77
 g__Cutibacterium,78
 g__Deinococcus,77
 g__Delftia,77
 g__Desemzia,77
 g__Devosia,77
 g__Domibacillus,77
 g__Dubosiella,17
 g__Dysgonomonas,8
 g__Enterobacter,72
 g__Enterococcus,77
 g__Erwinia,8
 g__Erysipelatoclostridium,17
 g__Escherichia-Shigella,18
 g__Exiguobacterium,77
 g__Falsirhodobacter,5
 g__Frigoribacterium,77
 g__Georgenia,77
 g__GKS98_freshwater_group,77
 g__Glutamicibacter,77
 g__Ileibacterium,16
 g__Jeotgalicoccus,17
 g__Kineococcus,77
 g__Kocuria,77
 g__Kurthia,17
 g__Lactobacillus,9
 g__Leucobacter,77
 g__Luteimonas,77
 g__Marinagarivorans,77
 g__Marinilactibacillus,77
 g__Marinovum,8
 g__Massilia,77
 g__Methylobacterium,76
 g__Microbacterium,77
 g__Modestobacter,8
 g__Nesterenkonia,77
 g__Nocardioides,77
 g__Novosphingobium,10
 g__Ornithinimicrobium,3
 g__Paenibacillus,71
 g__Paeniglutamicibacter,77
 g__Pantoea,4
 g__Parabacteroides,17
 g__Paracoccus,77
 g__Parasutterella,6
 g__Parvularcula,10
 g__Phenylobacterium,10
 g__Plantibacter,77
 g__Prevotella_9,6
 g__Pseudoclavibacter,77
 g__Pseudomonas,9
 g__Psychrobacillus,17
 g__Quadrisphaera,8
 g__Ralstonia,16
 g__Rathayibacter,77
 g__Rheinheimera,10
 g__Rhodococcus,77
 g__Saccharibacillus,78
 g__Saccharimonadales,8
 g__Salana,77
 g__Sanguibacter,75
 g__Sphingobacterium,77
 g__Sphingobium,2
 g__Sphingomonas,18
 g__Sporosarcina,17
 g__Staphylococcus,8
 g__Stenotrophomonas,77
 g__Streptococcus,77
 g__SWB02,77
 g__Terribacillus,6
 g__Tianweitania,77
 g__Tyzzerella,77
 g__unclassified_Acetobacteraceae,5
 g__unclassified_Alphaproteobacteria,5
 g__unclassified_Alteromonadales,10
 g__unclassified_Bacillaceae,8
 g__unclassified_Bacillales,77
 g__unclassified_Bacilli,5
 g__unclassified_Betaproteobacteriales,77
 g__unclassified_Bogoriellaceae,77
 g__unclassified_Burkholderiaceae,77
 g__unclassified_Carnobacteriaceae,77
 g__unclassified_Caulobacteraceae,10
 g__unclassified_Cellvibrionaceae,3
 g__unclassified_Clostridiales,77
 g__unclassified_Corynebacteriaceae,77
 g__unclassified_Enterobacteriaceae,3
 g__unclassified_Enterococcaceae,3
 g__unclassified_Firmicutes,76
 g__unclassified_Geodermatophilaceae,8
 g__unclassified_Lactobacillales,77
 g__unclassified_Microbacteriaceae,78
 g__unclassified_Micrococcaceae,77
 g__unclassified_Micrococcales,76
 g__unclassified_Nocardioidaceae,77
 g__unclassified_Paenibacillaceae,73
 g__unclassified_Planococcaceae,77
 g__unclassified_Proteobacteria,73
 g__unclassified_Pseudomonadales,77
 g__unclassified_Rhizobiaceae,77
 g__unclassified_Rhizobiales,75
 g__unclassified_Rhodobacteraceae,11
 g__unclassified_Ruminococcaceae,77
 g__unclassified_Staphylococcaceae,6
 g__unclassified_Xanthobacteraceae,16
 g__uncultured,10
