Id,degree
V1,10
 g__Acremonium,10
 g__Alternaria,4
 g__Amphinema,10
 g__Apiotrichum,10
 g__Ascochyta,4
 g__Aspergillus,1
 g__Aureobasidium,6
 g__Cercospora,6
 g__Cladosporium,1
 g__Cosmospora,10
 g__Cutaneotrichosporon,6
 g__Devriesia,5
 g__Dissoconium,10
 g__Epichloe,4
 g__Exophiala,4
 g__Filobasidium,10
 g__Fusariella,10
 g__Fusarium,6
 g__Kurtzmanomyces,5
 g__Leptosphaeria,5
 g__Malassezia,6
 g__Microcyclospora,5
 g__Mycenella,4
 g__Paraconiothyrium,4
 g__Penicillium,4
 g__Phoma,4
 g__Pochonia,5
 g__Pyrenophora,10
 g__Ramularia,4
 g__Stemphylium,1
 g__Suillus,4
 g__Tomentella,5
 g__Trichoderma,5
 g__Trichosporon,4
 g__Uwebraunia,10
 g__Wojnowiciella,10
