V1	 g__Acaulium	 g__Acremonium	 g__Alternaria	 g__Amphinema	 g__Apiotrichum	 g__Ascochyta	 g__Aspergillus	 g__Aureobasidium	 g__Bullera	 g__Cercophora	 g__Cercospora	 g__Cladorrhinum	 g__Cladosporium	 g__Cosmospora	 g__Cutaneotrichosporon	 g__Devriesia	 g__Dissoconium	 g__Emericellopsis	 g__Epichloe	 g__Exophiala	 g__Filobasidium	 g__Fusariella	 g__Fusarium	 g__Golubevia	 g__Kurtzmaniella	 g__Kurtzmanomyces	 g__Leptosphaeria	 g__Malassezia	 g__Metarhizium	 g__Microcyclospora	 g__Mycenella	 g__Myrothecium	 g__Paraconiothyrium	 g__Penicillium	 g__Phoma	 g__Plectosphaerella	 g__Pochonia	 g__Pseudaleuria	 g__Pyrenophora	 g__Ramularia	 g__Rhodosporidiobolus	 g__Septoria	 g__Staphylotrichum	 g__Stemphylium	 g__Suillus	 g__Talaromyces	 g__Tomentella	 g__Trechispora	 g__Trichoderma	 g__Trichomerium	 g__Trichosporon	 g__unclassified	 g__Uwebraunia	 g__Vishniacozyma	 g__Wallemia	 g__Wojnowiciella	 g__Zasmidium
V1	1	0	0.866805511757961	0	0.866805511757961	0.862633703485736	0	0	0	0	0	0	0	0	0.866805511757961	0	0	0.866805511757961	0	0	0	0.928661194064189	0.866805511757961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.866805511757961	0	0	0	0	0	0	0	0	0	0	0	0	0	0.866805511757961	0	0	0.866805511757961	0
 g__Acaulium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Acremonium	0.866805511757961	0	1	0	1	0.99425790836995	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0.988872757056622	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
 g__Alternaria	0	0	0	1	0	0	0	0	0.908125653259115	0	0	0.907819613659338	0	0	0	0	0	0	0	0	0	0	0	0.90432848850217	0	0	0	0	0.908125653259115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Amphinema	0.866805511757961	0	1	0	1	0.99425790836995	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0.988872757056622	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
 g__Apiotrichum	0.862633703485736	0	0.99425790836995	0	0.99425790836995	1	0	0	0	0	0	0	0	0	0.99425790836995	0	0	0.99425790836995	0	0	0	0.979214742888971	0.99425790836995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99425790836995	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99425790836995	0	0	0.99425790836995	0
 g__Ascochyta	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.999029243603905	0.999029243603905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999029243603905	0	0	0	0	0.940746601751353	0	0	0	0	0	0	0	0	0	0	0	0
 g__Aspergillus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.848138728240258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Aureobasidium	0	0	0	0.908125653259115	0	0	0	0	1	0	0	0.999996916732398	0	0	0	0	0	0	0	0	0	0	0	0.999870770045813	0	0	0	0	1	0	0.858534746487289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.845727806681442	0	0	0	0	0	0	0	0
 g__Bullera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Cercophora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Cercospora	0	0	0	0.907819613659338	0	0	0	0	0.999996916732398	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.999859586410856	0	0	0	0	0.999996916732398	0	0.858055478141307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.845229188627132	0	0	0	0	0	0	0	0
 g__Cladorrhinum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Cladosporium	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.967570838650281	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Cosmospora	0.866805511757961	0	1	0	1	0.99425790836995	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0.988872757056622	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
 g__Cutaneotrichosporon	0	0	0	0	0	0	0	-0.848138728240258	0	0	0	0	0	0	0	1	0.919567852613542	0	0	0	0	0	0	0	0	0	0.919567852613542	0.919567852613542	0	0	0	0	0	0	0	0	0	0.919567852613542	0	0	0	0	0	0	0	0	0	0.919567852613542	0	0	0	0	0	0	0	0	0	0
 g__Devriesia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.919567852613542	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
 g__Dissoconium	0.866805511757961	0	1	0	1	0.99425790836995	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0.988872757056622	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
 g__Emericellopsis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 g__Epichloe	0	0	0	0	0	0	0.999029243603905	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.934746827513885	0	0	0	0	0	0	0	0	0	0	0	0
 g__Exophiala	0	0	0	0	0	0	0.999029243603905	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.934746827513885	0	0	0	0	0	0	0	0	0	0	0	0
