Id,degree
 g__Acaulium,11
 g__Acremonium,11
 g__Ascochyta,1
 g__Aspergillus,1
 g__Bullera,11
 g__Cercophora,11
 g__Cercospora,1
 g__Cladorrhinum,5
 g__Cladosporium,10
 g__Cutaneotrichosporon,2
 g__Emericellopsis,5
 g__Filobasidium,11
 g__Fusarium,3
 g__Golubevia,1
 g__Leptosphaeria,3
 g__Metarhizium,11
 g__Microcyclospora,9
 g__Myrothecium,1
 g__Penicillium,1
 g__Plectosphaerella,5
 g__Pseudaleuria,11
 g__Rhodosporidiobolus,3
 g__Septoria,1
 g__Staphylotrichum,5
 g__Talaromyces,5
 g__Trechispora,3
 g__Trichoderma,6
 g__Trichomerium,11
 g__unclassified,10
 g__Vishniacozyma,11
